date,exchange rate,GDP,Inflation,Export,Import,GrossExtDebt,Interest Trend,GDP in $
2013-10-23,7.992999999999999,400542.1956521739,-0.31612903225806455,162852.9347826087,210947.60869565216,138428.34782608695,15.0,50111.622125881884
2013-10-24,7.992999999999999,400657.75,-0.3032258064516129,162891.25,210863.5,138480.5,15.0,50126.07906918554
2013-10-25,7.992999999999999,400773.3043478261,-0.2903225806451613,162929.5652173913,210779.39130434784,138532.65217391305,15.0,50140.536012489196
2013-10-26,7.992999999999999,400888.85869565216,-0.2774193548387097,162967.88043478262,210695.28260869565,138584.80434782608,15.0,50154.99295579284
2013-10-27,7.992999999999999,401004.4130434783,-0.2645161290322581,163006.19565217392,210611.1739130435,138636.95652173914,15.0,50169.4498990965
2013-10-28,7.992999999999999,401119.9673913043,-0.2516129032258065,163044.51086956522,210527.0652173913,138689.10869565216,15.0,50183.906842400145
2013-10-29,7.992999999999999,401235.52173913043,-0.2387096774193549,163082.8260869565,210442.95652173914,138741.26086956522,15.0,50198.3637857038
2013-10-30,7.992999999999999,401351.07608695654,-0.22580645161290325,163121.14130434784,210358.84782608695,138793.41304347827,15.0,50212.82072900745
2013-10-31,7.992999999999999,401466.6304347826,-0.21290322580645166,163159.45652173914,210274.73913043478,138845.5652173913,15.0,50227.2776723111
2013-11-01,7.992999999999999,401582.1847826087,-0.2,163197.77173913043,210190.63043478262,138897.71739130435,15.0,50241.734615614754
2013-11-02,7.992999999999999,401697.73913043475,-0.19333333333333336,163236.08695652173,210106.52173913043,138949.86956521738,15.1,50256.1915589184
2013-11-03,7.992999999999999,401813.29347826086,-0.18666666666666668,163274.40217391305,210022.41304347827,139002.02173913043,15.2,50270.64850222206
2013-11-04,7.992999999999999,401928.847826087,-0.18000000000000002,163312.71739130435,209938.30434782608,139054.1739130435,15.3,50285.10544552571
2013-11-05,7.992999999999999,402044.402173913,-0.17333333333333334,163351.03260869565,209854.19565217392,139106.3260869565,15.4,50299.562388829356
2013-11-06,7.992999999999999,402159.95652173914,-0.16666666666666669,163389.34782608695,209770.08695652173,139158.47826086957,15.5,50314.019332133015
2013-11-07,7.992999999999999,402275.51086956525,-0.16,163427.66304347827,209685.97826086957,139210.63043478262,15.6,50328.47627543667
2013-11-08,7.992999999999999,402391.0652173913,-0.15333333333333335,163465.97826086957,209601.86956521738,139262.78260869565,15.7,50342.93321874031
